input,cores,run1,run2,run3
30000,1,29.58,28.88,24.21
30000,2,17.29,17.22,18.44
30000,4,12.55,12.58,12.32
30000,8,12.65,12.76,12.25
30000,12,11.86,13.64,10.93
30000,16,12.70,11.31,11.41
30000,20,11.26,11.17,11.37
30000,24,11.34,11.44,11.15
30000,28,12.01,10.93,11.40
30000,32,13.45,13.42,13.37
30000,36,11.09,11.24,11.48
30000,40,10.91,10.99,12.12
30000,44,11.14,11.01,10.97
30000,48,11.14,10.97,10.99
30000,52,11.63,12.12,11.61
30000,56,11.02,10.93,10.96
30000,60,11.56,11.13,13.37
30000,64,10.94,10.91,10.90
