input,cores,avgRun,speedup,efficiency
15000,1,5.733333,0.83459306,0.83459306
15000,2,3.8266666,1.2504355,0.62521774
15000,4,2.8866665,1.6576213,0.41440532
15000,8,2.9033334,1.6481055,0.20601319
15000,12,2.6466668,1.8079344,0.1506612
15000,16,2.6733334,1.7899002,0.11186876
15000,20,2.6866667,1.7810173,8.905087e-2
15000,24,2.71,1.7656826,7.357011e-2
15000,28,2.6933334,1.7766088,6.3450314e-2
15000,32,2.6899998,1.7788105,5.558783e-2
15000,36,2.823333,1.6948054,4.7077928e-2
15000,40,2.6366665,1.8147914,4.5369785e-2
15000,44,2.82,1.6968085,3.856383e-2
15000,48,2.6266668,1.8217003,3.795209e-2
15000,52,2.6299999,1.8193916,3.49883e-2
15000,56,2.5933332,1.8451157,3.2948494e-2
15000,60,2.58,1.8546512,3.0910853e-2
15000,64,2.59,1.8474903,2.8867036e-2
