input,cores,avgRun,speedup,efficiency
30000,1,27.556665,0.6711624,0.6711624
30000,2,17.650002,1.0478752,0.5239376
30000,4,12.483334,1.4815754,0.37039384
30000,8,12.553333,1.4733138,0.18416423
30000,12,12.143333,1.5230578,0.12692149
30000,16,11.806666,1.5664878,9.790549e-2
30000,20,11.266666,1.641568,8.20784e-2
30000,24,11.31,1.6352783,6.8136595e-2
30000,28,11.446667,1.6157541,5.7705503e-2
30000,32,13.413333,1.3788519,4.308912e-2
30000,36,11.2699995,1.6410825,4.5585625e-2
30000,40,11.34,1.6309522,4.0773805e-2
30000,44,11.040001,1.6752715,3.807435e-2
30000,48,11.033333,1.676284,3.492258e-2
30000,52,11.786667,1.5691458,3.0175881e-2
30000,56,10.97,1.6859616,3.0106457e-2
30000,60,12.02,1.5386853,2.5644755e-2
30000,64,10.916667,1.6941984,2.647185e-2
