input,cores,run1,run2,run3
15000,1,5.75,5.73,5.72
15000,2,3.82,3.83,3.83
15000,4,2.79,2.78,3.09
15000,8,2.99,2.85,2.87
15000,12,2.69,2.67,2.58
15000,16,2.66,2.68,2.68
15000,20,2.68,2.68,2.70
15000,24,2.65,2.71,2.77
15000,28,2.73,2.66,2.69
15000,32,2.71,2.67,2.69
15000,36,2.81,2.72,2.94
15000,40,2.59,2.62,2.70
15000,44,2.75,2.59,3.12
15000,48,2.61,2.68,2.59
15000,52,2.61,2.59,2.69
15000,56,2.61,2.59,2.58
15000,60,2.58,2.58,2.58
15000,64,2.58,2.59,2.60
